geo_id,source_id,lby_reliable
LBY_000604,JA-111,Reliable
LBY_000605,KU-116,Reliable
LBY_000606,MU-403,Reliable
LBY_000607,ZA-223,Reliable
LBY_000608,MU-076,Reliable
LBY_000609,MI-291,Reliable
LBY_000610,MI-247,Reliable
LBY_000611,AJ-046,Reliable
LBY_000612,TR-400,Reliable
LBY_000613,MU-417,Reliable
LBY_000614,DA-003,Reliable
LBY_000615,WM-108,Reliable
LBY_000616,MI-191,Reliable
LBY_000617,MI-231,Reliable
LBY_000618,GA-019,Reliable
LBY_000619,MI-149,Reliable
LBY_000620,WM-085,Reliable
LBY_000621,JA-294,Reliable
LBY_000622,JA-271,Reliable
LBY_000623,JA-280,Reliable
LBY_000624,DA-113,Reliable
LBY_000625,DA-112,Reliable
LBY_000626,BI-174,Reliable
LBY_000627,MO-057,Reliable
LBY_000628,TR-353,Reliable
LBY_000629,TU-067,Reliable
LBY_000630,ZA-010,Reliable
LBY_000631,WM-246,Reliable
LBY_000632,MU-180,Reliable
LBY_000633,BI-188,Reliable
LBY_000634,BI-490,Reliable
LBY_000635,ZA-191,Reliable
LBY_000636,MO-063,Reliable
LBY_000637,JA-093,Reliable
LBY_000638,MU-210,Reliable
LBY_000639,NA-093,Reliable
LBY_000640,NA-062,Reliable
LBY_000641,WM-099,Reliable
LBY_000642,AJ-024,Unrelaible
LBY_000643,TR-498,Reliable
LBY_000644,MI-356,Reliable
LBY_000645,MI-550,Reliable
LBY_000646,MO-077,Reliable
LBY_000647,TR-257,Reliable
LBY_000648,ZA-148,Reliable
LBY_000649,AJ-036,Reliable
LBY_000650,JA-149,Reliable
LBY_000651,MI-203,Reliable
LBY_000652,MI-179,Reliable
LBY_000653,TR-516,Reliable
LBY_000654,JA-050,Reliable
LBY_000655,MA-203,Reliable
LBY_000656,MA-059,Reliable
LBY_000657,MI-258,Reliable
LBY_000658,TU-109,Reliable
LBY_000659,GM-175,Reliable
LBY_000660,MA-086,Reliable
LBY_000661,TR-004,Reliable
LBY_000662,TR-521,Reliable
LBY_000663,MU-281,Reliable
LBY_000664,ZA-023,Reliable
LBY_000665,TU-107,Reliable
LBY_000666,TU-108,Reliable
LBY_000667,MA-035,Reliable
LBY_000668,JA-179,Reliable
LBY_000669,GM-115,Reliable
LBY_000670,KU-159,Reliable
LBY_000671,MI-310,Reliable
LBY_000672,MI-250,Reliable
LBY_000673,MI-159,Reliable
LBY_000674,MA-134,Reliable
LBY_000675,MI-309,Reliable
LBY_000676,TR-466,Reliable
LBY_000677,MA-082,Reliable
LBY_000678,NA-066,Reliable
LBY_000679,MI-430,Reliable
LBY_000680,MI-078,Reliable
