geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library
MEX_094311,2013,1.0,,0,1,,1,1,,1,
MEX_057281,2013,,,0,1,,1,1,,1,
MEX_089513,2013,1.0,,1,1,,1,1,,1,
MEX_071768,2013,1.0,,1,1,,1,1,,1,
MEX_005620,2013,1.0,,1,1,,1,0,,1,
MEX_115415,2013,1.0,,1,1,,1,0,,1,
MEX_046797,2013,1.0,,0,1,,1,1,,1,
MEX_072988,2013,1.0,,1,1,,1,1,,1,
MEX_116708,2013,1.0,,1,1,,1,1,,1,
MEX_098543,2013,1.0,,0,1,,1,0,,1,
MEX_083086,2013,1.0,,1,1,,1,0,,1,
MEX_083035,2013,,,1,1,,1,1,,1,
MEX_083243,2013,1.0,,0,1,,1,0,,1,
MEX_099750,2013,1.0,,1,1,,1,1,,1,
MEX_022984,2013,,,0,1,,1,1,,1,
MEX_080742,2013,1.0,,1,1,,1,0,,1,
MEX_051757,2013,,,1,1,,1,0,,1,
MEX_046193,2013,1.0,,0,1,,1,0,,1,
MEX_027648,2013,1.0,,1,1,,1,1,,1,
MEX_051351,2013,1.0,,1,1,,1,0,,0,
MEX_100226,2013,1.0,,0,1,,1,0,,1,
MEX_149723,2013,1.0,,0,1,,1,0,,1,
MEX_080126,2013,1.0,,0,1,,1,0,,1,
MEX_092886,2013,1.0,,1,1,,1,1,,1,
MEX_147666,2013,1.0,,0,1,,1,0,,1,
MEX_017521,2013,1.0,,0,1,,1,0,,0,
MEX_078741,2013,1.0,,1,1,,1,0,,1,
MEX_150618,2013,,,0,1,,1,1,,1,
MEX_039417,2013,1.0,,1,1,,1,1,,1,
MEX_085979,2013,,,1,1,,1,0,,1,
MEX_061648,2013,1.0,,1,1,,1,1,,1,
MEX_069769,2013,1.0,,1,1,,1,1,,1,
MEX_085999,2013,1.0,,1,1,,1,1,,1,
MEX_061134,2013,1.0,,0,1,,1,1,,1,
