geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library,classrooms_total
HND_004170,2011,1,1,,,,0,0,,0,,
HND_010712,2011,1,1,,,,0,0,,0,,
HND_007621,2011,1,1,,,,1,0,,0,,
HND_000488,2011,1,1,,,,0,0,,0,,
HND_003578,2011,1,1,,,,0,0,,0,,
HND_005598,2011,1,1,,,,0,0,,0,,
HND_016265,2011,1,0,,,,0,0,,0,,
HND_009357,2011,0,0,,,,0,0,,0,,
HND_009244,2011,1,0,,,,0,0,,0,,
HND_003373,2011,1,1,,,,0,0,,0,,
HND_009463,2011,1,1,,,,0,0,,0,,
HND_009314,2011,1,1,,,,1,0,,0,,
HND_013976,2011,1,1,,,,1,0,,0,,
HND_006185,2011,1,1,,,,1,0,,0,,
HND_011602,2011,1,1,,,,1,0,,0,,
HND_003716,2011,1,1,,,,0,0,,0,,
HND_016848,2011,1,1,,,,0,0,,0,,
HND_011111,2011,1,1,,,,0,0,,0,,
HND_014507,2011,1,1,,,,0,0,,0,,
HND_004469,2011,1,1,,,,1,1,,1,,
HND_006461,2011,1,1,,,,1,0,,0,,
HND_009243,2011,1,1,,,,0,0,,0,,
HND_006446,2011,1,1,,,,0,0,,0,,
HND_006466,2011,1,1,,,,1,0,,0,,
HND_006480,2011,1,1,,,,1,0,,0,,
HND_012668,2011,1,1,,,,0,0,,0,,
HND_003041,2011,1,1,,,,1,0,,0,,
HND_012338,2011,1,1,,,,0,0,,0,,
HND_005533,2011,,,,,,,0,,0,,
HND_012589,2011,,,,,,,0,,0,,
HND_011313,2011,,,,,,,0,,0,,
HND_009245,2011,1,1,,,,0,0,,0,,
HND_010696,2011,1,1,,,,0,0,,0,,
HND_003252,2011,,,,,,,0,,0,,
HND_012713,2011,1,1,,,,0,0,,0,,
HND_011249,2011,1,1,,,,0,0,,0,,
HND_005850,2011,,0,,,,0,0,,0,,
HND_016497,2011,,,,,,,0,,0,,
HND_002477,2011,,,,,,,0,,0,,
HND_001742,2011,,,,,,,0,,0,,
HND_005712,2011,,,,,,,0,,0,,
HND_016198,2011,,,,,,,0,,0,,
HND_012878,2011,1,0,,,,0,0,,0,,
HND_001678,2011,1,0,,,,0,0,,0,,
HND_016189,2011,1,1,,,,0,0,,0,,
HND_016172,2011,,,,,,,0,,0,,
HND_001658,2011,1,1,,,,1,0,,0,,
HND_012623,2011,,,,,,,0,,0,,
HND_012777,2011,1,1,,,,0,0,,0,,
HND_010805,2011,1,1,,,,0,0,,0,,
HND_013772,2011,,,,,,,0,,0,,
HND_004936,2011,1,1,,,,1,0,,0,,
HND_004938,2011,1,1,,,,1,0,,1,,
HND_004939,2011,1,1,,,,1,0,,0,,
HND_009830,2011,1,1,,,,1,0,,0,,
HND_007914,2011,1,1,,,,1,0,,1,,
HND_004113,2011,1,0,,,,1,0,,0,,
HND_009840,2011,1,1,,,,1,0,,0,,
HND_014719,2011,1,1,,,,1,0,,0,,
HND_000715,2011,1,1,,,,1,0,,0,,
HND_006090,2011,1,1,,,,1,0,,0,,
HND_003740,2011,1,1,,,,1,0,,0,,
HND_005935,2011,1,1,,,,1,0,,1,,
HND_001355,2011,1,1,,,,1,0,,0,,
HND_011482,2011,1,0,,,,0,0,,0,,
HND_007925,2011,1,1,,,,0,0,,0,,
HND_015909,2011,1,1,,,,1,0,,1,,
HND_016452,2011,1,1,,,,0,0,,0,,
HND_014745,2011,1,1,,,,1,0,,0,,
HND_003436,2011,1,1,,,,1,0,,1,,
HND_011748,2011,1,1,,,,0,0,,0,,
HND_005602,2011,1,1,,,,0,0,,0,,
HND_001343,2011,1,1,,,,0,0,,0,,
HND_015371,2011,1,1,,,,1,0,,0,,
HND_010833,2011,1,1,,,,1,0,,0,,
HND_011895,2011,1,1,,,,1,0,,0,,
HND_014628,2011,1,1,,,,0,0,,0,,
HND_002515,2011,1,1,,,,0,0,,0,,
HND_008914,2011,,0,,,,0,0,,0,,
HND_016641,2011,1,1,,,,0,0,,0,,
HND_007525,2011,1,1,,,,0,0,,0,,
HND_008110,2011,0,0,,,,0,0,,0,,
HND_012209,2011,1,0,,,,0,0,,0,,
HND_001274,2011,1,1,,,,0,0,,0,,
HND_002817,2011,1,1,,,,0,0,,0,,
HND_008958,2011,1,1,,,,1,0,,0,,
HND_010145,2011,1,1,,,,0,0,,0,,
HND_010124,2011,1,1,,,,0,0,,0,,
HND_001690,2011,1,1,,,,1,0,,0,,
HND_001666,2011,1,1,,,,0,0,,0,,
HND_009614,2011,1,1,,,,0,0,,0,,
HND_001676,2011,1,1,,,,0,0,,0,,
HND_002685,2011,1,1,,,,0,0,,0,,
HND_001411,2011,1,1,,,,1,0,,0,,
HND_011449,2011,1,1,,,,0,0,,0,,
HND_005521,2011,1,1,,,,0,0,,0,,
HND_012699,2011,1,0,,,,0,0,,0,,
HND_016847,2011,1,1,,,,1,0,,0,,
HND_016133,2011,1,0,,,,0,0,,0,,
HND_016485,2011,1,1,,,,0,0,,0,,
HND_006472,2011,,0,,,,0,0,,0,,
HND_006820,2011,1,1,,,,0,0,,0,,
HND_006441,2011,1,1,,,,1,0,,0,,
HND_006470,2011,1,1,,,,0,0,,0,,
HND_014806,2011,1,1,,,,0,0,,0,,
HND_002705,2011,,,,,,,0,,0,,
HND_006184,2011,,,,,,,0,,0,,
HND_003219,2011,,,,,,,0,,0,,
HND_012675,2011,1,1,,,,0,0,,0,,
HND_001412,2011,1,0,,,,0,0,,0,,
HND_009845,2011,1,1,,,,0,0,,0,,
HND_007840,2011,1,0,,,,0,0,,0,,
HND_016489,2011,,,,,,,0,,0,,
HND_001630,2011,1,1,,,,0,0,,0,,
HND_002389,2011,1,1,,,,0,0,,0,,
HND_011250,2011,1,1,,,,0,0,,0,,
HND_004597,2011,1,1,,,,0,0,,0,,
HND_016169,2011,,,,,,,0,,0,,
HND_008258,2011,1,1,,,,0,0,,0,,
HND_016893,2011,1,0,,,,0,0,,0,,
HND_005541,2011,,,,,,,0,,0,,
HND_003074,2011,1,1,,,,1,0,,0,,
HND_004152,2011,1,1,,,,1,0,,0,,
HND_010396,2011,1,0,,,,1,0,,0,,
HND_008937,2011,1,1,,,,1,0,,0,,
HND_010738,2011,1,1,,,,0,0,,0,,
HND_009330,2011,1,0,,,,1,0,,0,,
HND_009626,2011,1,0,,,,0,0,,0,,
HND_000301,2011,1,1,,,,0,0,,0,,
HND_008147,2011,1,1,,,,1,0,,1,,
HND_000730,2011,0,0,,,,1,0,,0,,
HND_004877,2011,1,1,,,,1,0,,0,,
HND_008871,2011,1,1,,,,1,0,,0,,
HND_007734,2011,1,0,,,,1,0,,0,,
HND_008541,2011,1,1,,,,1,0,,0,,
HND_002795,2011,1,1,,,,0,0,,0,,
HND_008698,2011,1,0,,,,1,0,,0,,
HND_000172,2011,1,1,,,,1,0,,0,,
HND_007515,2011,1,1,,,,1,0,,1,,
HND_013947,2011,1,1,,,,1,0,,0,,
HND_012571,2011,1,1,,,,1,0,,0,,
HND_016584,2011,1,1,,,,1,0,,0,,
HND_012012,2011,1,1,,,,1,1,,1,,
HND_006427,2011,1,1,,,,1,0,,0,,
HND_006475,2011,1,1,,,,1,0,,0,,
HND_006445,2011,1,1,,,,0,0,,0,,
HND_010951,2011,1,0,,,,0,0,,0,,
HND_010513,2011,,,,,,,0,,0,,
HND_005534,2011,,,,,,,0,,0,,
HND_012638,2011,,,,,,,0,,0,,
HND_001641,2011,,,,,,,0,,0,,
HND_010512,2011,,,,,,,0,,0,,
HND_012708,2011,,,,,,,0,,0,,
HND_003568,2011,,,,,,,0,,0,,
HND_004292,2011,,,,,,,0,,0,,
HND_001354,2011,1,1,,,,1,0,,1,,
HND_008254,2011,1,1,,,,1,1,,1,,
HND_012631,2011,,,,,,,0,,0,,
HND_013781,2011,,,,,,,0,,0,,
HND_005854,2011,1,1,,,,1,0,,1,,
HND_002549,2011,1,1,,,,1,0,,1,,
HND_014145,2011,1,1,,,,1,0,,1,,
HND_010403,2011,1,1,,,,1,0,,1,,
HND_001346,2011,1,1,,,,1,0,,1,,
HND_004899,2011,1,1,,,,1,0,,1,,
HND_010884,2011,1,1,,,,1,0,,1,,
HND_008997,2011,1,1,,,,1,0,,1,,
HND_005857,2011,1,1,,,,1,0,,1,,
HND_003543,2011,1,1,,,,1,0,,0,,
HND_013828,2011,1,1,,,,1,0,,1,,
